x,y_do_x_1,y_do_x_2,y_do_x_3
4.3725963,0.9643607,0.2016076,0.8892192
4.390473,0.966075,0.2027188,0.89204735
4.4083495,0.96778107,0.20382507,0.8948718
4.4262266,0.9694789,0.20492649,0.8976928
4.4441032,0.9711686,0.20602298,0.9005101
4.46198,0.9728502,0.20711455,0.9033237
4.4798565,0.97452354,0.20820135,0.9061336
4.4977336,0.97618896,0.20928332,0.90893996
4.51561,0.97784626,0.21036054,0.91174257
4.533487,0.9794956,0.21143304,0.9145416
4.551364,0.9811369,0.21250078,0.9173367
4.5692406,0.9827704,0.21356393,0.9201281
4.587117,0.9843958,0.21462233,0.922916
4.604994,0.9860135,0.2156762,0.9257
4.622871,0.9876232,0.21672548,0.92848027
4.6407475,0.9892252,0.21777019,0.93125683
4.658624,0.99081933,0.2188104,0.9340295
4.676501,0.9924058,0.2198461,0.93679845
4.694378,0.9939844,0.22087735,0.9395637
4.7122545,0.99555546,0.22190417,0.9423252
4.730131,0.9971188,0.22292666,0.9450827
4.7480083,0.9986745,0.22394472,0.94783664
4.765885,1.0002227,0.22495854,0.9505865
4.7837615,1.0017632,0.22596797,0.95333284
4.801638,1.0032961,0.22697318,0.9560751
4.819515,1.0048217,0.22797418,0.95881367
4.837392,1.0063398,0.22897094,0.96154845
4.8552685,1.0078504,0.22996356,0.9642792
4.8731456,1.0093536,0.23095205,0.96700615
4.891022,1.0108494,0.23193642,0.9697293
4.908899,1.0123378,0.23291667,0.9724485
4.9267755,1.0138191,0.23389296,0.97516394
4.9446526,1.015293,0.23486519,0.9778756
4.962529,1.0167595,0.23583345,0.9805833
4.980406,1.018219,0.23679778,0.9832871
4.9982824,1.0196712,0.23775813,0.985987
5.0161595,1.0211163,0.23871468,0.9886832
5.034036,1.0225543,0.23966734,0.9913754
